brand,valor_antigo,Valor_atual,desconto,avaliacao,Quantidade de avaliação,Parcelamento,Observacao
iPhone 11 128 Gb Vermelho - 1 Ano De Garantia -poucas Marcas,2.079,1.954,6% OFF,,,10x 195,
Apple iPhone XR 128 Gb - Branco - Vitrine - Bateria 100%,1.699,1.699,,3.4,(7),10x 170,
iPhone 8 Plus 64gb Prateado Bom - Celular Usado,909,909,,4.5,(2),10x 90,
Apple iPhone XR 128 Gb - Lindo  10x Sem Juros,1.650,1.567,5% OFF,,,10x 156,
 iPhone SE 16 Gb ( Primeira Geracao ) Lindo 10x Sem Juros,550,495,10% OFF,,,10x 49,Disponível em 2 cores
 iPhone 8 64 Gb Cinza-espacial Lindo 10x Sem Juros,1.040,720,30% OFF,3.7,(16),10x 69,
Apple iPhone 12 (64 GB) - Branco,2.549,2.549,,4.2,(617),10x 255,Disponível em 6 cores
iPhone 15 Pro 256gb Dual E-sim 5g 8gb Capa + Pelicula Brinde,7.559,7.559,,,,10x 756,
 iPhone 6s 32 Gb Cinza-espacial,489,489,,4.9,(7),10x 47,
Apple iPhone XR 128 Gb - Vitrine - Bateria 100%,1.698,1.698,,3.7,(7),10x 169,Disponível em 2 cores
 iPhone 8 64 Gb Lindo 10x Sem Juros,878,878,,4.3,(34),10x 87,Disponível em 4 cores
Apple iPhone SE (2a Geração) 64 Gb Preto - Poucas Marcas,949,892,6% OFF,,,10x 89,
 iPhone 6 16 Gb Cinza-espacial Lindo 10x Sem Juros ,550,449,18% OFF,3.8,(4),10x 44,
iPhone XS Max 64gb Dourado Excelente - Trocafone - Usado,1.799,1.799,,5.0,(1),10x 179,
Apple iPhone 15 Pro (256 GB) - Titânio Azul,6.635,637,,4.8,(161),10x 7.199,Disponível em 4 cores
"iPhone 6s, Mn112br/a, 4.7 , 32gb, - Dourado",610,610,,,,10x 61,
iPhone XR 128 Gb Preto - 1 Ano De Garantia - Poucas Marcas,1.529,1.437,6% OFF,,,10x 143,
 iPhone 6s 16 Gb Prata Lindo 10x Sem Juros,625,481,23% OFF,,,10x 48,
iPhone 8 Barato Preto Sem Icloud Com Biometria Com  Nfe #177,1.299,779,40% OFF,5.0,(2),10x 77,
Apple iPhone XR 256 Gb - Preto Lindo 10x Sem Juros,2.100,1.618,22% OFF,,,10x 161,
iPhone 12 (128 Gb) - Vitrine - Bateria 100% +capa+fone Brind,2.999,2.399,20% OFF,,,10x 239,Disponível em 6 cores
iPhone 11 128 Gb Preto - 1 Ano De Garantia - Poucas Marcas,2.046,1.923,6% OFF,4.8,(5),10x 192,
 iPhone 8 Plus 64 Gb Vermelho Lindo 10x Sem Juros,1.260,1.260,,,,10x 126,
 iPhone 7 256 Gb Bateria 100% C/ Garantia | Nfe - Excelente ,1.038,788,24% OFF,,,10x 78,
iPhone 6s 32 Gb Rede 4g Wifi Câm.12mp - Cinza Espacial,599,599,,,,10x 60,
Apple iPhone 12 (128 Gb) - Preto,3.234,3.234,,,,10x 323,Disponível em 3 cores
iPhone 12 Mini 64 Gb Roxo - 1 Ano De Garantia - Poucas Marca,2.349,2.349,,,,10x 234,
iPhone 12 Mini 64 Gb Roxo - 1 Ano De Garantia- Marcas De Uso,2.299,2.299,,,,10x 229,
Apple iPhone 13 Pro 512 Gb Verde-alpino - Excelente,5.099,5.099,,,,10x 509,
"iPhone XR Apple 128gb Preto 6,1 12mp Ios 17 Desbloqueado",1.499,1.499,,,,10x 149,
 iPhone 8 64 Gb Cinza-espacial,944,944,,,,10x 94,
Apple iPhone 15 (256 GB) - Preto,7.485,6.194,17% OFF,4.8,(215),10x 619,Disponível em 5 cores
 iPhone 8 64 Gb Bateria 100% C/ Garantia | Nfe - Excelente ,932,708,24% OFF,,,10x 70,
 iPhone 7 128 Gb Bateria 100% C/ Garantia | Nfe - Excelente ,893,678,24% OFF,,,10x 67,
"iPhone XR Apple 128gb Preto 6,1  12mp Ios 17 Desbloqueado",1.498,1.498,,,,10x 149,
Apple iPhone 6s 32gb 2gb Ram Tela 4.7 Cinza Espacial,499,499,,3.0,(4),10x 49,
 iPhone 11 Pro Max 64 GB dourado A2218,4.099,4.099,,,,10x 409,
Apple iPhone XR 64 Gb - Preto Lindo 10x Sem Juros ,1.450,1.305,10% OFF,,,10x 130,
iPhone 7 128gb Vermelho Bom - Celular Usado,629,629,,,,10x 60,
iPhone 14 128gb,3.799,3.799,,,,10x 379,
Apple iPhone 11 (128 Gb) - Roxo - Vitrine - Bateria 100%,2.149,2.149,,5.0,(2),10x 214,
